"","ID","result_MB","result_DC","result_PG","result_LY","result_CP","result_ES","result_RP"
"1",1,"n",NA,NA,NA,NA,NA,NA
"2",2,NA,NA,NA,NA,"n",NA,NA
"3",3,"n",NA,NA,"n",NA,NA,NA
"4",4,NA,"n",NA,NA,NA,NA,NA
"5",5,NA,NA,"y",NA,NA,NA,NA
"6",6,NA,NA,NA,NA,NA,"n",NA
"7",7,NA,NA,NA,NA,NA,NA,"y"
"8",8,"n",NA,NA,NA,NA,NA,NA
"9",9,NA,NA,NA,NA,"n",NA,NA
"10",10,NA,NA,NA,"n",NA,NA,NA
"11",11,NA,"y",NA,NA,NA,NA,NA
"12",12,NA,NA,"n",NA,"n",NA,NA
"13",13,NA,NA,NA,NA,"n","n",NA
"14",14,NA,NA,NA,NA,NA,NA,"y"
"15",15,"y",NA,NA,NA,NA,NA,NA
"16",16,NA,NA,NA,NA,"n",NA,NA
"17",17,NA,NA,NA,"y",NA,NA,NA
"18",18,NA,"y",NA,NA,NA,NA,NA
"19",19,NA,NA,"n",NA,NA,NA,NA
"20",20,NA,NA,NA,NA,NA,"y",NA
"21",21,NA,NA,NA,NA,NA,NA,"Y"
"22",22,"y",NA,NA,NA,NA,NA,NA
"23",23,NA,NA,NA,NA,"n",NA,NA
"24",24,NA,NA,NA,"y",NA,NA,NA
"25",25,NA,"n",NA,NA,NA,NA,"n"
"26",26,NA,NA,"y",NA,NA,NA,NA
"27",27,NA,"y",NA,NA,NA,"y",NA
"28",28,NA,NA,NA,NA,NA,NA,"N"
"29",29,"n",NA,NA,NA,NA,NA,NA
"30",30,NA,NA,"n",NA,"n",NA,NA
"31",31,NA,NA,NA,"y",NA,NA,NA
"32",32,NA,"n",NA,NA,NA,NA,NA
"33",33,NA,NA,"y",NA,NA,NA,NA
"34",34,NA,NA,NA,NA,NA,"y",NA
"35",35,NA,"y",NA,NA,NA,NA,"y"
"36",36,"y",NA,NA,NA,NA,NA,NA
"37",37,NA,NA,NA,NA,"n",NA,NA
"38",38,NA,NA,NA,"y",NA,NA,NA
"39",39,NA,"n",NA,NA,NA,NA,NA
"40",40,NA,NA,"y",NA,NA,NA,NA
"41",41,NA,NA,NA,NA,NA,"n",NA
"42",42,NA,NA,NA,NA,NA,NA,"y"
"43",43,"y",NA,NA,NA,"y",NA,NA
"44",44,NA,NA,NA,"y","y",NA,NA
"45",45,NA,NA,"n","n",NA,NA,NA
"46",46,NA,"n",NA,NA,NA,NA,NA
"47",47,NA,NA,"y",NA,NA,NA,NA
"48",48,NA,NA,NA,NA,NA,"y",NA
"49",49,NA,NA,NA,NA,NA,NA,"Y"
"50",50,"y",NA,NA,NA,NA,"n",NA
"51",51,NA,NA,NA,NA,"y",NA,NA
"52",52,NA,NA,NA,"y",NA,NA,NA
"53",53,"n","n",NA,NA,NA,NA,NA
"54",54,NA,NA,"y",NA,NA,NA,NA
"55",55,NA,NA,NA,NA,NA,"y",NA
"56",56,NA,NA,NA,NA,NA,NA,"y"
"57",57,"y",NA,NA,NA,NA,NA,NA
"58",58,NA,NA,NA,"n","n",NA,NA
"59",59,NA,"y",NA,"y",NA,NA,NA
"60",60,NA,"n",NA,NA,NA,NA,NA
"61",61,"n",NA,"n",NA,NA,NA,NA
"62",62,NA,NA,NA,NA,NA,"y",NA
"63",63,NA,NA,NA,NA,NA,NA,"n"
"64",64,"n",NA,"n",NA,NA,NA,NA
"65",65,NA,NA,NA,NA,"n",NA,NA
"66",66,NA,NA,NA,"y",NA,NA,NA
"67",67,NA,"y",NA,NA,NA,NA,NA
"68",68,NA,NA,"y",NA,NA,NA,NA
"69",69,NA,NA,NA,NA,NA,"y","unsure"
"70",70,NA,NA,NA,NA,NA,NA,"N"
"71",71,"y",NA,NA,NA,NA,"y",NA
"72",72,NA,NA,NA,NA,"n",NA,NA
"73",73,NA,NA,NA,"n",NA,NA,NA
"74",74,NA,"n",NA,NA,NA,NA,NA
"75",75,NA,NA,"y",NA,NA,NA,NA
"76",76,NA,NA,NA,NA,NA,"y",NA
"77",77,NA,NA,NA,NA,NA,"n","n"
