"ID","qc"
"chl_10","include"
"chl_12","a"
"chl_15","a"
"chl_26","b"
"chl_28","c"
"chl_29","a"
"chl_39","b"
"chl_46","c"
"chl_5","include"
"chl_52","c"
"chl_59","b"
"chl_72","a"
"chl_76","c"
"pro_10","b"
"pro_12","b"
"pro_12","b"
"pro_13","a"
"pro_13","a"
"pro_19","b"
"pro_23","c"
"pro_29","b"
"pro_30","b"
"pro_30","b"
"pro_39","b"
"pro_4","include"
"pro_50","include"
"pro_50","include"
"pro_58","b"
"pro_58","b"
"pro_6","include"
"pro_60","a"
"pro_61","b"
"pro_61","b"
"pro_64","b"
"pro_64","b"
"pro_69","include"
"pro_69","include"
"pro_70","b"
"pro_74","include"
"pro_77","b"
"pro_77","b"
"r3_07","b"
"r3_09","c"
"chl_2","b"
"chl_16","include"
"chl_16","include"
"chl_67","b"
"pro_32","b"
"pro_53","b"
"pro_8","b"
"pro_53","b"
"pro_73","b"
"pro_9","b"
"pro_16","b"
"pro_72","b"
"pro_41","b"
"pro_28","b"
"pro_63","b"
"r2_04","b"
"r2_06","b"
"r3_04","b"
"chl_7","a"
"chl_7","a"
"chl_45","a"
"chl_45","a"
"chl_70","include"
"chl_70","include"
"pro_25","a"
"pro_46","a"
"pro_1","a"
"pro_3","a"
"pro_45","a"
"pro_3","a"
"pro_45","a"
"pro_2","a"
"pro_37","a"
"pro_65","a"
"pro_25","a"
"r3_27","a"
"r3_03","a"
"r3_11","a"
"r3_26","a"
"r3_28","a"
"r3_06","a"
"r3_12","a"
"r3_20","a"
