"","ID","connectivity_type","connectivity_measure","seasonal_code","repeats_code"
"1","chl_16","2","d","y","n"
"2","chl_56","1","a","y","n"
"3","chl_6","2","e","y","n"
"4","pro_56","1, 2","c","y","n"
"5","chl_74","1","a","n","n"
"6","chl_48","2","a","n","y"
"7","pro_38","1","d","n","n"
"8","chl_37","2","e","y","n"
"9","chl_19","2","c","n","n"
"10","chl_20","1, 2","d,e","n","y"
"11","chl_31","2","e","n","n"
"12","chl_38","1, 2","c","y","y"
"13","chl_49","1","a","n","n"
"14","chl_57","1","d","n","y"
"15","chl_65","1, 2","d,e","y","n"
"16","chl_75","1, 2","c","y","y"
"17","chl_9","2","d","y","n"
"18","pro_35","1, 2","c","n","y"
"19","pro_52","3","a","n","n"
"20","pro_54","0","g","y","n"
"21","pro_55","0","h","n","y"
"22","pro_57","1","b","y","n"
"23","chl_23","2","a,d","n","n"
"24","chl_34","2","d","n","n"
"25","chl_42","0","g","y","n"
"26","chl_53","2","e","y","n"
"27","chl_61","1, 2","d","y","n"
"28","chl_69","2","e","y","n"
"29","chl_79","2","e","y","y"
"30","pro_11","2","d","y","y"
"31","pro_17","1,3","a","n","n"
"32","pro_22","2","d,e","y","y"
"33","pro_51","1, 2","g","n","n"
"34","pro_76","1, 2","d","n","n"
"35","chl_4","2","c","y","y"
"36","chl_36","2","c","y","n"
"37","chl_55","2","d","y","n"
"38","chl_63","2","c,d","y","n"
"39","chl_8","0","g","n","n"
"40","pro_31","2","c","y","y"
"41","pro_34","1, 2","c,e","y","n"
"42","chl_44","0","h","n","n"
"43","chl_73","2","b,c","y","n"
"44","chl_32","3","c","n","n"
"45","chl_40","1","b","n","y"
"46","chl_50","2","d","y","y"
"47","chl_58","1","c","n","n"
"48","chl_66","2","g","n","n"
"49","chl_77","1","b","y","n"
"50","pro_27","0","g","y","n"
"51","pro_71","2","a","y","n"
"52","pro_68","1, 2","e","n","y"
"53","pro_66","1","e","n","y"
"54","pro_62","1","a","n","n"
"55","pro_49","1, 2","a","n","n"
"56","chl_11","0","h","n","n"
"57","chl_21","2","d","n","n"
"58","chl_17","2","b,d","y","y"
"59","chl_3","2","c,d","y","n"
"60","chl_35","2","c,d","y","n"
"61","chl_43","2","c","n","y"
"62","chl_54","2","c,d","y","n"
"63","chl_62","1, 2, 3","a,c,d","n","y"
"64","chl_71","2","d","n","n"
"65","pro_18","2","d,e","y","n"
"66","pro_20","2","c,d","y","y"
"67","pro_24","1,3","d","n","y"
"68","pro_33","0","g","n","y"
"69","pro_7","2","c","y","y"
"70","chl_22","2","b,c","y","y"
"71","chl_33","1, 2","d,e","n","n"
"72","chl_41","1, 2","b,c,d","y","n"
"73","chl_51","1","b,c,e","y","n"
"74","chl_60","1, 2","a","n","n"
"75","chl_68","2","c,d,e","y","n"
"76","chl_78","2","g","n","n"
"77","pro_15","3","c,f","n","n"
"78","pro_21","2","c,d","y","n"
"79","pro_44","2","b","y","y"
"80","pro_69","1","a,b,f","y","y"
"81","pro_75","1, 2","g","n","n"
"82","chl_5","0","h","n","y"
"83","chl_10","1","b","n","n"
"84","pro_4","2","c","n","n"
"85","pro_74","1","d","n","y"
"86","chl_13","0","g","y","y"
"87","chl_70","0","g","n","n"
"88","pro_5","1","a","n","n"
"89","r2_01","2","f","y","n"
"90","r2_02","2","g","y","n"
"91","r2_03","2","d","n","n"
"92","r2_05","0","g","n","n"
"93","r2_07","2","d","n","n"
"94","pro_42","0","g","n","n"
"95","chl_27","1","d","n","n"
"96","pro_48","3","d","n","n"
"97","chl_25","2, 3","c,d","y","y"
"98","pro_67","2","c,e","y","y"
"99","pro_43","1, 2, 3","a,c","y","y"
"100","pro_40","1","a","y","n"
"101","chl_18","2","c,d","y","y"
"102","r3_25","0","g","n","n"
"103","r3_01","2","d","y","n"
"104","r3_05","2","c,d","y","n"
"105","r3_13","1,3","j","y","n"
"106","r3_15","1","a,e","y","y"
"107","r3_17","3","c","y","y"
"108","r3_19","1,3","f,g","y","n"
"109","r3_21","0","h","n","n"
"110","r3_23","2","c,d","y","y"
"111","r3_02","1, 2, 3","b","y","y"
"112","r3_08","1, 2, 3","c","y","n"
"113","r3_10","2, 3","f","n","n"
"114","r3_14","1","d","y","y"
"115","r3_16","1","b","y","n"
"116","r3_18","1, 2","d","y","y"
"117","r3_22","2","d","y","y"
"118","r3_24","0","g","y","n"
