Reviewer ,Title,Marine (Y/N),Water Body Type,Original Research (Y/N),Response Variable,Connectivity Metric,Inclusion ,Notes
LY,assessing the effects of lateral hydrological connectivity alteration on freshwater ecosystems: a meta-analys,N ,"aquatic (rivers, lakes, wetlands/floodplains)",meta-analysis," macroinverts and fish (abundance and diversity), chl-a and other WQ ",disconnected/moderately connected/highly connected,N,Could be a good model for our meta-analysis.  Includes effect size
LY,greenhouse gas emissions from lakes along a permafrost gradient in western canada; climate feedback dominated by methane ,N ,lakes,Y,methane & CO2 emissions,N/A,N,I excluded this because it is a conference abstract only and no connectivity
LY,"so close, so far: differences in long-term chlorophyll a variability in three nearby estuarine-coastal stations","Y, partly",coast and estuary,Y,chl-a,connected/not connected via cross correlation,N,I excluded this because partly marine
LY,effects of lake-basin morphological and hydrological characteristics on the eutrophication of shallow lakes in eastern china,N ,lakes and rivers,Y, chl-a,connected/not connected with river,Y,Lake eutrophication reduced with connectivity to river
LY,spatial connectivity in a large river system: resolving the sources and fate of dissolved organic matter,N ,river,Y,DOM,Moran's i coefficients (cross correlation),Y,Biogeochemical cycles
LY,"the significance of side-arm connectivity for carbon dynamics of the river danube, austria",N ,river and floodplain,Y,Primary production,Autochthonous/Allocthonous carbon pools,Y,Biogeochemical cycles
LY,hydrological connectivity and flood pulses as the central aspects for the integrity of a river-floodplain system,N ,river and floodplain,Y,"Nutrients, suspended solids, and chl-a",connectivity gradient from lotic to lentic,Y,"lateral, longitudinal, and groundwater-surface connectivity"
LY,changing characteristics and driving factors of trophic state of lakes in the middle and lower reaches of yangtze river in the past 30 years,N ,lakes,Y,chl-a and other WQ,connected/not connected,N,"abstract in English, rest in Chinese.  Could not find all-English copy."
LY,freshwater inflow and responses from estuaries across a climatic gradient: an assessment of northwestern gulf of mexico estuaries based on stable isotopes,"Y, partly",estuaries,Y,stable isotopes in oysters and chl-a,increased or decreased connectivity depending on isotope similaritie,N,Not riverine
LY,metal pollution in the pearl river estuary and implications for estuary management: the influence of hydrological connectivity associated with estuarine mixing,"Y, partly","upper river, estuary, coast",Y,metals,source contributions and transport routes,N,I excluded this because partly marine
LY,the spatial ecology of phytoplankton blooms in uk canals,N ,canals,Y,cyano bloom presence,hydrological distances,Y,Negative effects of connectivity
LY,a multidisciplinary approach to investigate deep-pelagic ecosystem dynamics in the gulf of mexico following deepwater horizon,Y,ocean,Y,"nekton, biogeochem",genetic connectivity and correlations,N,I excluded this because completely marine
LY,"influence of hydrological connectivity on winter limnology in floodplain lakes of the saskatchewan river delta, saskatchewan",N ,lakes and floodplain,Y,stable isotopes and WQ,"drought-connected, low flood-connected, moderate flood-connected , high flood-connected,  extreme flood-connected lakes",Y,
LY,"seasonal fluctuation of some limnological variables on a floodplain lake (patos lagoon) of the upper parana river, mato grosso do sul state, brazil",N ,floodplain lakes,Y,various hydrological and climatological factors,high/low connectivity ,Y,
LY,functional indicators of stream health: a river-basin approach,N ,river,Y,"chl-a, biofilm growth, autotrophic index",connected/not connected,Y,"Although connectivity is only minor component, focus on disturbed vs. undisturbed sites"
